route_id,route_long_name,trip_headsign,shape_id,shape_pt_lat,shape_pt_lon
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.988563,-114.067401
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.988776,-114.067282
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.98905,-114.067144
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.989178,-114.067087
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.989388,-114.067
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.989542,-114.066941
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.98969,-114.066891
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.989956,-114.066811
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.990184,-114.066757
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.990299,-114.066733
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.99055,-114.066688
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.991298,-114.066581
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.991697,-114.066529
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.994554,-114.066131
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.994784,-114.066091
