,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Green Trips,Green Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,East Gray Trips,East Gray Freq,West Gray Trips,West Gray Freq,Future Brentwood Trips,Future Brentwood Freq,Future Tuscany Trips,Future Tuscany Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
67,Killarney,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18710,8.9333,115800,0,6.189203634420096,0.09412241930640648,0.005559097006389719
68,Killarney/glengarry,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,20780,78.4615,0,21125,1.0166025024061598,0.8266806446004963,0.0009131048615665548
69,Kingsland,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,3675,78.4615,0,21125,5.7482993197278915,0.8266806446004963,0.0051630800063545606
70,Lake Bonavista,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10325,6.7,266400,0,25.80145278450363,0.07059207788308056,0.02317467438575866
71,Lincoln Park,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,75,9.75,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,430,88.2115,0,26000,60.46511627906977,0.9294079221169195,0.054309320997074806
72,Livingston  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5985,6.7,266400,0,44.51127819548872,0.07059207788308056,0.039979701425724004
73,Mahogany,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7230,6.7,266400,0,36.84647302904564,0.07059207788308056,0.033095230018389786
74,Manchester,0,0.0,444,6.7,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1680,13.4,532800,0,317.14285714285717,0.1411841557661611,0.2848553726582836
75,"Marlborough Park
",193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2860,8.9333,115800,0,40.48951048951049,0.09412241930640648,0.036367379366976094
76,Martindale,193,8.9333,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6575,16.0166,115800,6370,18.580988593155894,0.1687529962122609,0.016689306761459084
77,Mayland Heights,193,8.9333,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7240,16.0166,115800,6370,16.874309392265193,0.1687529962122609,0.01515638010450186
78,McKenzie Towne,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2715,6.7,266400,0,98.12154696132596,0.07059207788308056,0.08813204899924795
79,Meadowlark Park,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2100,6.7,266400,0,126.85714285714286,0.07059207788308056,0.11394214906331343
80,Midnapore,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1055,6.7,266400,0,252.51184834123222,0.07059207788308056,0.22680427775635847
81,Millrise,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7360,6.7,266400,0,36.19565217391305,0.07059207788308056,0.03251066753165193
82,Montgomery,0,0.0,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7805,7.0833,0,6370,0.8161434977578476,0.0746305769058544,0.0007330540636824895
83,Mount Pleasant,0,0.0,0,0.0,444,6.7,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9115,13.7833,266400,6370,29.92539769610532,0.14522265478893495,0.02687877125617115
84,New Brighton,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6960,6.7,266400,0,38.275862068965516,0.07059207788308056,0.03437909670013767
85,Nolan Hill  ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11540,0.0,0,0,0.0,0.0,0.0
